0--	M, 140283989721088, 64
3901--	M, 140283987680224, 338
3902--	M, 140283987638064, 109
3903--	F, 140283987645760
3904--	M, 140283987644976, 396
3905--	M, 140283987697376, 325
3906--	F, 140283987657696
3907--	M, 140283987679120, 224
3908--	F, 140283987690304
3909--	M, 140283987649056, 71
3910--	M, 140283987672832, 239
3911--	M, 140283987695520, 54
3912--	F, 140283987687680
3913--	F, 140283987649136
3914--	M, 140283987649136, 351
3915--	M, 140283987642608, 52
3916--	M, 140283987697712, 131
3917--	M, 140283987645760, 224
3918--	F, 140283987652512
3919--	F, 140283987653648
3920--	F, 140283987641984
3921--	M, 140283987673728, 465
3922--	F, 140283987677424
3923--	M, 140283987654544, 246
3924--	M, 140283987652512, 68
3925--	M, 140283987643600, 278
3926--	M, 140283987687680, 333
3927--	F, 140283987650560
3928--	F, 140283987635456
3929--	M, 140283987641984, 127
3930--	F, 140283987685808
3931--	M, 140283987685808, 352
3932--	M, 140283987673072, 266
3933--	F, 140283987640432
3934--	M, 140283987640432, 59
3935--	M, 140283987690304, 442
3936--	M, 140283987650544, 390
3937--	F, 140283987696432
3938--	M, 140283987635456, 198
3939--	M, 140283987659408, 277
3940--	M, 140283987677424, 456
3941--	M, 140283987657568, 265
3942--	F, 140283987682496
3943--	F, 140283987655536
3944--	M, 140283987641536, 110
3945--	F, 140283987666192
3946--	F, 140283987633808
3947--	F, 140283987641984
3948--	M, 140283987650160, 164
3949--	M, 140283987688016, 67
3950--	F, 140283987683328
3951--	F, 140283987637392
3952--	F, 140283987673520
3953--	M, 140283987641984, 110
3954--	F, 140283987648960
3955--	M, 140283987682496, 380
3956--	F, 140283987647392
3957--	M, 140283987637360, 339
3958--	F, 140283987693536
3959--	F, 140283989796368
3960--	M, 140283987696432, 482
3961--	M, 140283987647376, 374
3962--	F, 140283987664528
3963--	M, 140283987666192, 239
3964--	M, 140283987661424, 167
3965--	F, 140283987679120
3966--	M, 140283987648960, 89
3967--	F, 140283987697376
3968--	M, 140283987697376, 328
3969--	F, 140283987670608
3970--	M, 140283987633808, 135
3971--	F, 140283987654832
3972--	M, 140283987638976, 183
3973--	F, 140283987680224
3974--	M, 140283987657840, 156
3975--	M, 140283987670608, 245
3976--	F, 140283987693840
3977--	M, 140283987683328, 451
3978--	F, 140283987672832
3979--	M, 140283987665600, 104
3980--	M, 140283987658160, 58
3981--	F, 140283987638976
3982--	F, 140283987649056
3983--	F, 140283989757744
3984--	F, 140283987648384
3985--	M, 140283987693536, 463
3986--	M, 140283987664464, 263
3987--	F, 140283987640192
3988--	M, 140283987640288, 101
3989--	M, 140283987680224, 347
3990--	M, 140283987654800, 381
3991--	M, 140283987653648, 211
3992--	M, 140283987679120, 250
3993--	M, 140283987694000, 174
3994--	F, 140283987639552
3995--	F, 140283987643152
3996--	M, 140283987648352, 435
3997--	M, 140283987643152, 259
3998--	M, 140283987700640, 403
3999--	F, 140283987663488
4000--	F, 140283987685056
4001--	M, 140283987685056, 346
4002--	M, 140283987638976, 191
4003--	F, 140283987670912
4004--	M, 140283987670912, 64
4005--	F, 140283987640992
4006--	M, 140283987701056, 298
4007--	M, 140283987639360, 245
4008--	M, 140283987672832, 239
4009--	M, 140283987701360, 255
4010--	M, 140283987701616, 316
4011--	M, 140283987663488, 117
4012--	M, 140283987685408, 93
4013--	F, 140283987652096
4014--	F, 140283987680224
4015--	F, 140283987637728
4016--	F, 140283987679872
4017--	F, 140283987669712
4018--	F, 140283987648800
4019--	M, 140283987679872, 445
4020--	F, 140283987688096
4021--	F, 140283987674832
4022--	F, 140283989729072
4023--	F, 140283987672400
4024--	F, 140283987649744
4025--	F, 140283987699792
4026--	F, 140283987681248
4027--	F, 140283987695936
4028--	F, 140283987635680
4029--	M, 140283987672320, 489
4030--	M, 140283987635680, 102
4031--	F, 140283987665600
4032--	M, 140283987640992, 343
4033--	M, 140283987699792, 411
4034--	M, 140283987635920, 134
4035--	M, 140283987681248, 353
4036--	F, 140283987632608
4037--	F, 140283987687168
4038--	F, 140283987664032
4039--	F, 140283987696432
4040--	F, 140283987637088
4041--	M, 140283987652096, 367
4042--	M, 140283987664032, 430
4043--	F, 140283987691856
4044--	F, 140283987650544
4045--	F, 140283987670912
4046--	M, 140283987637040, 283
4047--	F, 140283987659968
4048--	M, 140283987670912, 62
4049--	M, 140283987649744, 159
4050--	M, 140283987640192, 94
4051--	F, 140283987701616
4052--	F, 140283989795904
4053--	M, 140283987673520, 194
4054--	M, 140283987669232, 141
4055--	F, 140283987654128
4056--	M, 140283987688096, 431
4057--	M, 140283987654128, 274
4058--	M, 140283987650544, 332
4059--	F, 140283989735744
4060--	F, 140283987694192
4061--	M, 140283987694176, 365
4062--	F, 140283987698304
4063--	F, 140283987688976
4064--	F, 140283987633632
4065--	M, 140283987655536, 81
4066--	F, 140283987633808
4067--	M, 140283987658720, 190
4068--	M, 140283987633600, 206
4069--	F, 140283987654544
4070--	M, 140283987632608, 202
4071--	F, 140283989775808
4072--	M, 140283987688976, 372
4073--	F, 140283987694176
4074--	F, 140283987656848
4075--	M, 140283987674832, 193
4076--	M, 140283987656848, 269
4077--	F, 140283987647072
4078--	F, 140283987686176
4079--	F, 140283987673520
4080--	M, 140283987673520, 201
4081--	M, 140283987650880, 53
4082--	F, 140283987689408
4083--	F, 140283987638976
4084--	M, 140283987701616, 289
4085--	F, 140283987642112
4086--	F, 140283987696928
4087--	M, 140283987689360, 441
4088--	M, 140283987698304, 424
4089--	M, 140283987686160, 476
4090--	F, 140283989782400
4091--	F, 140283987653872
4092--	F, 140283987644176
4093--	M, 140283987644176, 169
4094--	M, 140283987680320, 257
4095--	M, 140283987694176, 352
4096--	M, 140283987654544, 213
4097--	M, 140283987664736, 53
4098--	F, 140283989774128
4099--	F, 140283987643600
4100--	M, 140283987691792, 307
4101--	F, 140283987640592
4102--	F, 140283987640432
4103--	M, 140283987659968, 218
4104--	M, 140283987637712, 231
4105--	F, 140283987701056
4106--	M, 140283987665600, 126
4107--	F, 140283987648352
4108--	F, 140283987682496
4109--	M, 140283987687152, 451
4110--	F, 140283987680592
4111--	F, 140283987685056
4112--	F, 140283987653552
4113--	M, 140283987640592, 388
4114--	F, 140283987680928
4115--	F, 140283987646960
4116--	M, 140283987648352, 486
4117--	F, 140283987699504
4118--	F, 140283987686672
4119--	M, 140283987669664, 170
4120--	F, 140283987695520
4121--	M, 140283987648848, 102
4122--	M, 140283987686640, 432
4123--	F, 140283987675376
4124--	M, 140283987642096, 124
4125--	M, 140283987646960, 314
4126--	M, 140283987685056, 306
4127--	M, 140283987699504, 231
4128--	M, 140283987682496, 355
4129--	M, 140283987675376, 388
4130--	F, 140283987674224
4131--	M, 140283987680592, 465
4132--	F, 140283987644704
4133--	F, 140283987673520
4134--	M, 140283987653552, 85
4135--	M, 140283987673520, 206
4136--	M, 140283987701056, 285
4137--	M, 140283987633808, 129
4138--	M, 140283987695904, 359
4139--	F, 140283987664032
4140--	M, 140283987664032, 430
4141--	M, 140283987696272, 421
4142--	F, 140283987653328
4143--	M, 140283987696704, 475
4144--	F, 140283987687152
4145--	M, 140283987687072, 362
4146--	M, 140283987701936, 415
4147--	F, 140283987694176
4148--	M, 140283987640400, 96
4149--	M, 140283987694176, 359
4150--	F, 140283987668912
4151--	F, 140283987695904
4152--	M, 140283987702352, 386
4153--	M, 140283987702752, 430
4154--	M, 140283987668912, 313
4155--	M, 140283987703184, 485
4156--	F, 140283987650544
4157--	M, 140283987703680, 389
4158--	F, 140283987702352
4159--	F, 140283987663616
4160--	F, 140283987641648
4161--	M, 140283987687440, 237
4162--	F, 140283987685408
4163--	M, 140283987704080, 447
4164--	M, 140283987675776, 103
4165--	M, 140283987641648, 333
4166--	M, 140283987694544, 140
4167--	F, 140283987662128
4168--	F, 140283987665168
4169--	M, 140283987665168, 432
4170--	M, 140283987650544, 305
4171--	M, 140283987644704, 117
4172--	F, 140283987641376
4173--	M, 140283987704528, 445
4174--	F, 140283987700640
4175--	M, 140283987704976, 462
4176--	M, 140283987653264, 284
4177--	F, 140283987649904
4178--	M, 140283987695520, 57
4179--	F, 140283987691792
4180--	F, 140283987689808
4181--	F, 140283987686640
4182--	M, 140283987695904, 334
4183--	M, 140283987641376, 159
4184--	F, 140283987641376
4185--	M, 140283987686640, 429
4186--	M, 140283987643600, 275
4187--	M, 140283987662128, 371
4188--	F, 140283987695104
4189--	M, 140283987702352, 333
4190--	M, 140283987697184, 185
4191--	M, 140283987681072, 175
4192--	M, 140283987649904, 234
4193--	M, 140283987663616, 207
4194--	M, 140283987649056, 74
4195--	M, 140283987689808, 463
4196--	F, 140283987642784
4197--	M, 140283987691792, 496
4198--	M, 140283987666768, 94
4199--	F, 140283987653264
4200--	F, 140283987651824
4201--	M, 140283987651744, 312
4202--	F, 140283987668016
4203--	F, 140283987633088
4204--	F, 140283987679120
4205--	M, 140283987653872, 153
4206--	F, 140283987646400
4207--	F, 140283987703680
4208--	M, 140283987646400, 228
4209--	F, 140283987665040
4210--	F, 140283987637360
4211--	F, 140283987704976
4212--	M, 140283987705440, 467
4213--	F, 140283987636592
4214--	F, 140283987644176
4215--	M, 140283987679120, 247
4216--	M, 140283987674208, 214
4217--	M, 140283987653264, 193
4218--	M, 140283987642784, 301
4219--	F, 140283987653648
4220--	F, 140283987651744
4221--	F, 140283987660224
4222--	M, 140283987668016, 114
4223--	M, 140283987633088, 171
4224--	F, 140283987663040
4225--	F, 140283987633808
4226--	F, 140283987660736
4227--	M, 140283987643088, 51
4228--	F, 140283987655200
4229--	F, 140283987640016
4230--	M, 140283987685376, 125
4231--	F, 140283987665168
4232--	F, 140283987698752
4233--	M, 140283987655184, 342
4234--	M, 140283987663040, 151
4235--	F, 140283987703184
4236--	F, 140283987643152
4237--	F, 140283987636176
4238--	M, 140283987651744, 348
4239--	F, 140283989741136
4240--	M, 140283987643152, 372
4241--	M, 140283987695104, 387
4242--	F, 140283987679120
4243--	M, 140283987633808, 134
4244--	F, 140283987661424
4245--	M, 140283987637328, 364
4246--	M, 140283987679120, 226
4247--	M, 140283987700640, 408
4248--	M, 140283987636592, 285
4249--	M, 140283987704976, 298
4250--	F, 140283987659968
4251--	F, 140283987677424
4252--	M, 140283987653472, 71
4253--	F, 140283987652512
4254--	M, 140283987661424, 191
4255--	M, 140283987677424, 342
4256--	F, 140283987654448
4257--	F, 140283989736384
4258--	F, 140283987651744
4259--	M, 140283987664976, 397
4260--	F, 140283987669376
4261--	M, 140283987703184, 439
4262--	M, 140283987698736, 227
4263--	F, 140283987701616
4264--	M, 140283987669376, 232
4265--	M, 140283987703632, 396
4266--	F, 140283987646320
4267--	M, 140283987644160, 189
4268--	F, 140283987636288
4269--	F, 140283987685056
4270--	M, 140283987641344, 187
4271--	F, 140283987632336
4272--	M, 140283987685056, 317
4273--	M, 140283987659968, 483
4274--	F, 140283987638176
4275--	M, 140283987705280, 142
4276--	M, 140283987636176, 391
4277--	M, 140283987632336, 266
4278--	F, 140283987682496
4279--	M, 140283987640016, 165
4280--	M, 140283987701616, 292
4281--	M, 140283987638176, 433
4282--	M, 140283987660464, 464
4283--	M, 140283987660928, 231
4284--	M, 140283987705920, 490
4285--	F, 140283989752256
4286--	F, 140283987642096
4287--	F, 140283987648352
4288--	M, 140283987648352, 442
4289--	M, 140283987706416, 490
4290--	M, 140283987636880, 145
4291--	F, 140283987658224
4292--	F, 140283987694176
4293--	F, 140283987678400
4294--	M, 140283987706912, 427
4295--	M, 140283987707344, 439
4296--	F, 140283987695520
4297--	M, 140283987707792, 463
4298--	M, 140283987646320, 69
4299--	F, 140283987648160
4300--	M, 140283987651744, 327
4301--	M, 140283987678400, 295
4302--	M, 140283987658224, 245
4303--	F, 140283987694688
4304--	F, 140283987683328
4305--	M, 140283987648160, 180
4306--	F, 140283987669376
4307--	F, 140283987666192
4308--	M, 140283987669376, 264
4309--	M, 140283987694176, 293
4310--	F, 140283987659968
4311--	F, 140283987636064
4312--	F, 140283987688576
4313--	M, 140283987694688, 395
4314--	M, 140283987682496, 382
4315--	M, 140283987694480, 50
4316--	M, 140283987654416, 113
4317--	M, 140283987666192, 261
4318--	F, 140283987655632
4319--	F, 140283987637968
4320--	M, 140283987655632, 310
4321--	F, 140283987651744
4322--	M, 140283987688528, 394
4323--	F, 140283987692736
4324--	F, 140283987658224
4325--	M, 140283987651744, 315
4326--	F, 140283987678272
4327--	M, 140283987692736, 361
4328--	F, 140283987667184
4329--	F, 140283987649056
4330--	M, 140283987683328, 427
4331--	F, 140283987676256
4332--	F, 140283987653872
4333--	F, 140283989760896
4334--	F, 140283987648160
4335--	M, 140283987642096, 144
4336--	F, 140283987637328
4337--	F, 140283987703184
4338--	M, 140283987637328, 371
4339--	M, 140283987665376, 206
4340--	M, 140283987658224, 196
4341--	M, 140283987655952, 63
4342--	M, 140283987653648, 379
4343--	F, 140283987656016
4344--	M, 140283987659968, 490
4345--	M, 140283987703184, 398
4346--	M, 140283987667184, 88
4347--	M, 140283987676256, 459
4348--	M, 140283987648160, 150
4349--	F, 140283987635792
4350--	F, 140283987675888
4351--	F, 140283987644976
4352--	F, 140283987673072
4353--	F, 140283987640016
4354--	M, 140283987663824, 58
4355--	M, 140283987708256, 480
4356--	F, 140283987643088
4357--	F, 140283987659280
4358--	M, 140283987644976, 371
4359--	M, 140283987640016, 166
4360--	F, 140283987674208
4361--	F, 140283987658000
4362--	F, 140283987697184
4363--	M, 140283987708736, 399
4364--	F, 140283987654032
4365--	F, 140283987676256
4366--	M, 140283987675888, 365
4367--	M, 140283987674208, 222
4368--	F, 140283987671904
4369--	F, 140283987634960
4370--	M, 140283987709136, 474
4371--	F, 140283987707792
4372--	M, 140283987637952, 101
4373--	M, 140283987697184, 183
4374--	M, 140283987643088, 59
4375--	F, 140283987695584
4376--	M, 140283987636064, 105
4377--	M, 140283987673072, 218
4378--	F, 140283987646720
4379--	F, 140283987637712
4380--	F, 140283987642096
4381--	M, 140283987702688, 58
4382--	M, 140283987707792, 436
4383--	F, 140283987690304
4384--	F, 140283987632608
4385--	F, 140283987668912
4386--	M, 140283987668912, 303
4387--	F, 140283987673728
4388--	F, 140283987663824
4389--	F, 140283987635680
4390--	M, 140283987646640, 319
4391--	F, 140283987673376
4392--	M, 140283987671888, 406
4393--	F, 140283987662704
4394--	M, 140283987634960, 272
4395--	F, 140283987632192
4396--	F, 140283987666192
4397--	F, 140283987705440
4398--	F, 140283987664464
4399--	M, 140283987656016, 167
4400--	F, 140283987701616
4401--	M, 140283987701616, 286
4402--	M, 140283987659216, 162
4403--	M, 140283987637712, 227
4404--	F, 140283987678400
4405--	M, 140283987638976, 186
4406--	F, 140283987636176
4407--	M, 140283987705424, 481
4408--	F, 140283987681072
4409--	M, 140283987678272, 446
4410--	M, 140283987673296, 177
4411--	F, 140283987645760
4412--	F, 140283987640016
4413--	M, 140283987652464, 122
4414--	F, 140283987663232
4415--	F, 140283987664800
4416--	F, 140283987670064
4417--	F, 140283987693152
4418--	F, 140283987688016
4419--	F, 140283987668016
4420--	F, 140283987687680
4421--	M, 140283987632192, 134
4422--	F, 140283987674208
4423--	F, 140283987648160
4424--	F, 140283987702352
4425--	M, 140283987632608, 200
4426--	F, 140283987680320
4427--	M, 140283987702352, 320
4428--	M, 140283987635664, 182
4429--	M, 140283987648160, 156
4430--	M, 140283987676256, 430
4431--	F, 140283989754144
4432--	F, 140283987633808
4433--	F, 140283987676720
4434--	M, 140283987680320, 196
4435--	M, 140283987695504, 378
4436--	F, 140283987703632
4437--	F, 140283987632336
4438--	F, 140283987640400
4439--	M, 140283987703584, 485
4440--	M, 140283987662704, 293
4441--	M, 140283987676688, 386
4442--	M, 140283987687680, 390
4443--	M, 140283987632336, 233
4444--	M, 140283987690272, 456
4445--	F, 140283987661776
4446--	M, 140283987664800, 173
4447--	M, 140283987636176, 363
4448--	F, 140283987635280
4449--	F, 140283987656656
4450--	M, 140283987673728, 492
4451--	M, 140283987709616, 475
4452--	F, 140283987682912
4453--	F, 140283987644352
4454--	M, 140283987682880, 358
4455--	F, 140283989764192
4456--	F, 140283987655952
4457--	F, 140283987709616
4458--	F, 140283987646400
4459--	M, 140283987655952, 59
4460--	M, 140283987645760, 262
4461--	M, 140283987709616, 376
4462--	M, 140283987664464, 263
4463--	F, 140283987670976
4464--	M, 140283987644352, 350
4465--	F, 140283987653264
4466--	M, 140283987653264, 202
4467--	M, 140283987661776, 327
4468--	M, 140283987646400, 230
4469--	M, 140283987683248, 72
4470--	F, 140283987682880
4471--	F, 140283987697712
4472--	M, 140283987674224, 231
4473--	F, 140283987677104
4474--	F, 140283987673296
4475--	F, 140283987631632
4476--	M, 140283987680528, 51
4477--	F, 140283987663888
4478--	F, 140283987647376
4479--	M, 140283987710096, 464
4480--	F, 140283987649744
4481--	M, 140283987670976, 387
4482--	M, 140283987710560, 435
4483--	F, 140283987635664
4484--	F, 140283987678272
4485--	M, 140283987635664, 184
4486--	F, 140283987707344
4487--	F, 140283987654128
4488--	M, 140283987663824, 204
4489--	M, 140283987668016, 105
4490--	F, 140283987679120
4491--	M, 140283987693104, 288
4492--	M, 140283987673296, 213
4493--	M, 140283987677088, 312
4494--	F, 140283987685504
4495--	M, 140283987649744, 151
4496--	M, 140283987663200, 283
4497--	F, 140283987694176
4498--	F, 140283987656848
4499--	M, 140283987707344, 414
4500--	F, 140283987695104
4501--	M, 140283987666192, 255
4502--	F, 140283987694544
4503--	M, 140283987694544, 133
4504--	M, 140283987694176, 270
4505--	F, 140283987632336
4506--	F, 140283987664800
4507--	F, 140283987679872
4508--	F, 140283987652464
4509--	M, 140283987682880, 330
4510--	F, 140283987654416
4511--	M, 140283987664800, 173
4512--	M, 140283987685504, 290
4513--	F, 140283987641648
4514--	M, 140283987654032, 361
4515--	M, 140283987652464, 104
4516--	F, 140283987656192
4517--	M, 140283987677776, 114
4518--	F, 140283987634880
4519--	M, 140283987641648, 279
4520--	M, 140283987635232, 206
4521--	M, 140283987647376, 305
4522--	F, 140283987639360
4523--	F, 140283987646032
4524--	F, 140283987658720
4525--	F, 140283987710560
4526--	F, 140283987653552
4527--	M, 140283987656640, 474
4528--	M, 140283987695088, 336
4529--	M, 140283987654400, 111
4530--	F, 140283987674832
4531--	F, 140283987636176
4532--	F, 140283987703184
4533--	F, 140283987679376
4534--	M, 140283987639360, 254
4535--	F, 140283987685504
4536--	F, 140283987638784
4537--	M, 140283987679120, 449
4538--	M, 140283987656192, 228
4539--	M, 140283987697712, 128
4540--	F, 140283987705424
4541--	M, 140283987703184, 313
4542--	M, 140283987633808, 116
4543--	F, 140283987676256
4544--	F, 140283987688528
4545--	F, 140283987703584
4546--	F, 140283987705920
4547--	M, 140283987636176, 335
4548--	F, 140283987655952
4549--	F, 140283987670608
4550--	M, 140283987653552, 92
4551--	M, 140283987642096, 126
4552--	F, 140283987654400
4553--	F, 140283987657120
4554--	F, 140283987691472
4555--	M, 140283987703504, 460
4556--	M, 140283987674832, 194
4557--	F, 140283987676688
4558--	M, 140283987657120, 423
4559--	M, 140283987679584, 487
4560--	F, 140283987639168
4561--	M, 140283987688528, 345
4562--	M, 140283987680080, 201
4563--	M, 140283987710560, 402
4564--	M, 140283987703968, 106
4565--	M, 140283987676256, 498
4566--	M, 140283987655952, 56
4567--	M, 140283987678272, 325
4568--	F, 140283987677776
4569--	M, 140283987646032, 288
4570--	M, 140283987670608, 280
4571--	M, 140283987631632, 152
4572--	F, 140283987650944
4573--	F, 140283987679120
4574--	F, 140283987687072
4575--	F, 140283987652832
4576--	F, 140283987706416
4577--	F, 140283987681648
4578--	M, 140283987632336, 272
4579--	F, 140283987636592
4580--	M, 140283987685504, 213
4581--	M, 140283987676768, 211
4582--	F, 140283987664800
4583--	M, 140283987677776, 128
4584--	M, 140283987678608, 100
4585--	F, 140283987667184
4586--	M, 140283987636512, 357
4587--	M, 140283987652832, 392
4588--	F, 140283987686160
4589--	M, 140283987691472, 317
4590--	F, 140283987657568
4591--	F, 140283987658480
4592--	M, 140283987657552, 219
4593--	M, 140283987670064, 158
4594--	M, 140283987664800, 168
4595--	F, 140283987637712
4596--	F, 140283987638976
4597--	M, 140283987638976, 180
4598--	M, 140283987657776, 56
4599--	M, 140283987685728, 68
4600--	M, 140283987687072, 301
4601--	F, 140283987631632
4602--	M, 140283987679120, 431
4603--	F, 140283987659968
4604--	F, 140283987682128
4605--	M, 140283987658432, 479
4606--	M, 140283987637712, 200
4607--	M, 140283987686160, 306
4608--	M, 140283987659968, 273
4609--	F, 140283987664800
4610--	M, 140283987681616, 249
4611--	M, 140283987681872, 346
4612--	F, 140283987644704
4613--	F, 140283987657776
4614--	M, 140283987644704, 152
4615--	F, 140283987645760
4616--	F, 140283987648160
4617--	F, 140283987662512
4618--	M, 140283987705424, 381
4619--	M, 140283987705808, 278
4620--	F, 140283987658432
4621--	F, 140283987633264
4622--	F, 140283987654800
4623--	F, 140283987656432
4624--	F, 140283987640288
4625--	M, 140283987658432, 435
4626--	M, 140283987654768, 358
4627--	M, 140283987656432, 207
4628--	F, 140283987661776
4629--	F, 140283987701936
4630--	F, 140283987687440
4631--	F, 140283987653648
4632--	F, 140283987685728
4633--	M, 140283987701904, 411
4634--	M, 140283987687376, 294
4635--	F, 140283987673728
4636--	F, 140283987664976
4637--	M, 140283987661776, 346
4638--	M, 140283987667184, 100
4639--	M, 140283987653648, 370
4640--	F, 140283987644352
4641--	F, 140283987699008
4642--	F, 140283987645392
4643--	M, 140283987682224, 272
4644--	F, 140283987708256
4645--	M, 140283987654400, 135
4646--	F, 140283987656192
4647--	F, 140283987703504
4648--	M, 140283987644352, 296
4649--	F, 140283987666464
4650--	M, 140283987631632, 145
4651--	M, 140283987703504, 386
4652--	F, 140283987692736
4653--	F, 140283987700208
4654--	M, 140283987708240, 489
4655--	M, 140283987633264, 86
4656--	F, 140283987692320
4657--	M, 140283987700208, 378
4658--	F, 140283987660464
4659--	F, 140283987633264
4660--	M, 140283987673728, 459
4661--	M, 140283987685728, 80
4662--	M, 140283987666448, 314
4663--	F, 140283987661168
4664--	F, 140283987704080
4665--	F, 140283989740096
4666--	F, 140283987658224
4667--	F, 140283987688096
4668--	F, 140283987685504
4669--	F, 140283987676256
4670--	F, 140283987669840
4671--	M, 140283987633264, 85
4672--	F, 140283987707344
4673--	F, 140283987644352
4674--	M, 140283987686480, 113
4675--	F, 140283987657552
4676--	M, 140283987707344, 405
4677--	F, 140283987653264
4678--	M, 140283987688080, 376
4679--	F, 140283987641536
4680--	F, 140283987679120
4681--	M, 140283987679120, 451
4682--	M, 140283987676256, 477
4683--	M, 140283987698976, 490
4684--	M, 140283987650944, 89
4685--	M, 140283987664800, 460
4686--	F, 140283987636064
4687--	M, 140283987704080, 376
4688--	M, 140283987658000, 114
4689--	F, 140283987686640
4690--	F, 140283987658432
4691--	M, 140283987640016, 173
4692--	M, 140283987681072, 142
4693--	M, 140283987653232, 229
4694--	F, 140283987682880
4695--	F, 140283987657120
4696--	M, 140283987662512, 115
4697--	F, 140283987635920
4698--	F, 140283987696704
4699--	M, 140283987695424, 78
4700--	M, 140283987662640, 64
4701--	M, 140283987686608, 404
4702--	F, 140283987648352
4703--	M, 140283987696704, 474
4704--	F, 140283987638064
4705--	M, 140283987704464, 63
4706--	F, 140283987644864
4707--	M, 140283987660256, 469
4708--	F, 140283987633360
4709--	F, 140283987662640
4710--	F, 140283987709136
4711--	F, 140283987677904
4712--	M, 140283987709136, 409
4713--	F, 140283987694480
4714--	M, 140283987660736, 169
4715--	F, 140283987632336
4716--	F, 140283987675376
4717--	M, 140283987639168, 119
4718--	F, 140283987673520
4719--	M, 140283987694448, 96
4720--	M, 140283987645360, 434
4721--	F, 140283987684320
4722--	M, 140283987648160, 438
4723--	F, 140283987682224
4724--	F, 140283987639632
4725--	F, 140283987666864
4726--	F, 140283987636512
4727--	F, 140283987703504
4728--	F, 140283987679584
4729--	M, 140283987703504, 431
4730--	M, 140283987666864, 320
4731--	M, 140283987679584, 476
4732--	F, 140283987644976
4733--	F, 140283987642784
4734--	F, 140283987670064
4735--	F, 140283987710096
4736--	F, 140283987657840
4737--	M, 140283987638064, 104
4738--	M, 140283987635856, 313
4739--	M, 140283987644864, 471
4740--	M, 140283987676992, 85
4741--	M, 140283987645808, 223
4742--	M, 140283987634880, 78
4743--	F, 140283987642672
4744--	M, 140283987638784, 117
4745--	M, 140283987649056, 80
4746--	M, 140283987673520, 118
4747--	M, 140283987684304, 319
4748--	F, 140283987685728
4749--	F, 140283987633264
4750--	M, 140283987640288, 202
4751--	M, 140283987710000, 474
4752--	F, 140283987658160
4753--	M, 140283987644352, 350
4754--	F, 140283987651040
4755--	M, 140283987658224, 455
4756--	F, 140283987633088
4757--	F, 140283987660736
4758--	F, 140283987701904
4759--	F, 140283987663040
4760--	F, 140283987675056
4761--	F, 140283987659408
4762--	M, 140283987636512, 357
4763--	M, 140283987669840, 378
4764--	F, 140283987632832
4765--	M, 140283987685504, 293
4766--	F, 140283987661616
4767--	M, 140283987701904, 435
4768--	F, 140283987637040
4769--	M, 140283987639616, 399
4770--	F, 140283987688080
4771--	F, 140283987691136
4772--	F, 140283987694544
4773--	M, 140283987677904, 356
4774--	M, 140283987658128, 91
4775--	M, 140283987651040, 410
4776--	M, 140283987659392, 295
4777--	F, 140283987654544
4778--	M, 140283987694544, 116
4779--	F, 140283987694544
4780--	F, 140283987648848
4781--	F, 140283987650336
4782--	F, 140283987661424
4783--	F, 140283987655632
4784--	F, 140283987667296
4785--	M, 140283987637040, 282
4786--	F, 140283987637040
4787--	F, 140283987655536
4788--	M, 140283987663008, 154
4789--	F, 140283987684656
4790--	M, 140283987694544, 113
4791--	F, 140283987640496
4792--	M, 140283987682224, 270
4793--	F, 140283987677088
4794--	F, 140283987664464
4795--	M, 140283987661168, 497
4796--	M, 140283987677088, 316
4797--	F, 140283987643904
4798--	F, 140283987640592
4799--	M, 140283987637040, 274
4800--	M, 140283987660736, 119
4801--	M, 140283987650336, 133
4802--	F, 140283987640016
4803--	F, 140283987659216
4804--	F, 140283987669232
4805--	F, 140283987695088
4806--	M, 140283987667296, 355
4807--	F, 140283987643088
4808--	F, 140283987679584
4809--	F, 140283987635232
4810--	M, 140283987661680, 81
4811--	M, 140283987656192, 235
4812--	F, 140283987710560
4813--	F, 140283987679120
4814--	M, 140283987640496, 487
4815--	F, 140283987632192
4816--	M, 140283987643888, 262
4817--	F, 140283987666448
4818--	F, 140283987639360
4819--	F, 140283987631792
4820--	M, 140283987631792, 386
4821--	M, 140283987635232, 209
4822--	M, 140283987650480, 50
4823--	F, 140283987654768
4824--	F, 140283987650480
4825--	M, 140283987710480, 483
4826--	M, 140283987664464, 252
4827--	F, 140283987674832
4828--	M, 140283987639296, 250
4829--	M, 140283987666448, 305
4830--	M, 140283987695088, 226
4831--	F, 140283987676992
4832--	M, 140283987669216, 127
4833--	M, 140283987639552, 60
4834--	M, 140283987648608, 344
4835--	M, 140283987691136, 258
4836--	F, 140283987646320
4837--	F, 140283987664464
4838--	M, 140283987684624, 417
4839--	M, 140283987688080, 424
4840--	M, 140283987682880, 273
4841--	M, 140283987659216, 128
4842--	M, 140283987632192, 410
4843--	F, 140283987681072
4844--	M, 140283987640016, 123
4845--	M, 140283987658688, 188
4846--	M, 140283987664464, 181
4847--	M, 140283987655536, 326
4848--	M, 140283987681072, 130
4849--	M, 140283987642672, 262
4850--	M, 140283987654544, 329
4851--	M, 140283987632816, 312
4852--	M, 140283987633136, 337
4853--	F, 140283987670608
4854--	M, 140283987642944, 201
4855--	F, 140283987667296
4856--	F, 140283987702688
4857--	F, 140283987638976
4858--	F, 140283987671392
4859--	M, 140283987671376, 383
4860--	F, 140283987673296
4861--	F, 140283987635232
4862--	M, 140283987667296, 324
